sp_id	sp_gq_id	age	sex
942056982	450018433	42	M
942056983	450018433	27	M
942056984	450018433	29	M
942056985	450018433	50	M
942056986	450018433	53	M
942056987	450018433	26	M
942056988	450018433	48	M
942056989	450018434	27	F
942056990	450018434	23	F
942056991	450018434	43	F
942056992	450018434	25	F
942056993	450018434	34	F
939791424	450035089	70	F
939791422	450035089	87	F
939791421	450035089	86	F
939791398	450035089	85	F
939791399	450035089	69	F
939791400	450035089	78	F
939791401	450035089	96	F
939791402	450035089	88	F
939791403	450035089	85	F
939791404	450035089	96	F
939791405	450035089	96	F
939791406	450035089	79	F
939791407	450035089	77	F
939791408	450035089	94	F
939791409	450035089	85	F
939791410	450035089	75	F
939791420	450035089	87	F
939791419	450035089	73	F
939791418	450035089	88	F
939791417	450035089	85	F
939791416	450035089	89	F
939791415	450035089	85	F
939791414	450035089	79	F
939791413	450035089	87	F
939791412	450035089	77	F
939791411	450035089	89	F
939791445	450035089	85	F
939791444	450035089	80	F
939791443	450035089	86	F
939791442	450035089	75	F
939791441	450035089	93	F
939791440	450035089	93	F
939791439	450035089	89	F
939791438	450035089	77	F
939360842	450035089	58	F
939360841	450035089	61	F
940344137	450035089	31	M
940344136	450035089	63	M
940344135	450035089	61	M
940584340	450035089	84	M
940584341	450035089	72	M
940584342	450035089	86	M
940584343	450035089	89	M
940584344	450035089	83	M
940584345	450035089	75	M
940584346	450035089	65	M
940584347	450035089	87	M
940584348	450035089	69	M
940584349	450035089	75	M
940584350	450035089	85	M
940584351	450035089	65	M
940584352	450035089	69	M
940584353	450035089	92	M
940584354	450035089	80	M
939791446	450035089	89	F
939791447	450035089	77	F
939791448	450035089	76	F
939791449	450035089	94	F
939791450	450035089	92	F
939791451	450035089	78	F
939791452	450035089	89	F
939791453	450035089	86	F
939791454	450035089	76	F
939791455	450035089	86	F
939791456	450035089	94	F
939791457	450035089	98	F
939791458	450035089	96	F
939791459	450035089	79	F
939791437	450035089	85	F
939791436	450035089	89	F
939791435	450035089	80	F
939791434	450035089	85	F
939791433	450035089	70	F
939791432	450035089	105	F
939791431	450035089	100	F
939791430	450035089	77	F
939791429	450035089	84	F
939791428	450035089	87	F
939791427	450035089	84	F
939791426	450035089	93	F
939791425	450035089	86	F
939791423	450035089	69	F
939530423	450028618	87	F
939530422	450028618	76	F
