sp_id	stco	latitude	longitude
450120885	29071	38.337078	-90.978165
450068395	29071	38.3424795	-90.9852598
450134851	29071	38.524016	-90.860707
450143912	29071	38.603347	-91.217009
450112122	29071	38.551877	-91.143094
450141020	29071	38.484105	-90.752446
450122776	29071	38.555037	-91.042605
450055807	29071	38.5803300	-90.7513900
450115663	29071	38.482047	-90.857307
450058351	29071	38.5571005	-91.0151420
450069322	29071	38.4845863	-90.9397320
450143919	29071	38.600639	-91.22538
450060535	29189	38.5883190	-90.6708945
450055589	29183	38.8153079	-90.9578862
450057726	29189	38.5843942	-90.5575856
450115194	29071	38.477533	-91.022361
450152271	29071	38.466027	-90.767884
450070964	29183	38.8616594	-90.7452523
450053632	29071	38.4774808	-90.8487977
450060122	29219	38.8243284	-90.9928997
450081244	29510	38.606942	-90.302479
450143916	29071	38.600639	-91.22538
450079105	29510	38.61768	-90.208365
450071876	29219	38.5930654	-90.9835752
450058262	29183	38.7678866	-90.7576251
450123112	29071	38.556964	-91.014042
450101856	29071	38.484304	-90.779688
450068845	29151	38.4698700	-91.8160500
450113448	29071	38.443841	-91.00864
450066968	23015	0.0000000	0.0000000
450072760	29189	38.6499046	-90.5084230
450075432	29189	38.6536907	-90.4816862
450114997	29071	38.445545	-91.01645
450056631	34035	0.0000000	0.0000000
450124118	29071	38.576889	-91.281992
450125461	29071	38.39531	-91.3393
450152697	29071	38.412144	-90.814366
450107280	29071	38.448413	-91.021124
450108262	29071	38.42341	-91.13729
450144316	29071	38.409374	-90.759401
450057544	29055	38.0642322	-91.4062388
450073454	29189	38.6320800	-90.4741858
450075028	29071	38.5637484	-91.0227872
450078160	29510	38.548882	-90.261151
450061390	29055	38.2260875	-91.1543806
450154927	29510	38.635843	-90.212815
450064280	29099	38.4066579	-90.5887532
450053179	29071	38.3364322	-90.9687554
450058298	29139	38.9764466	-91.5090735
450137634	29071	38.285944	-90.82212
