sp_id	latitude	longitude
507970422	38.5038929	-90.6269247
507937584	38.6697929	-90.3713648
507970705	38.6642369	-90.6422177
507972756	38.2992749	-90.7750927
507973957	38.2735910	-90.8937606
507975335	38.4781749	-90.9026716
507972996	38.4817929	-90.7781807
507970295	38.6632429	-90.6251647
508190860	38.7657728	-90.3925347
507949735	38.5494419	-90.4441707
507970562	38.5707729	-90.6274647
507976460	38.5043619	-91.0061926
507978177	38.3646180	-91.0729226
507939380	38.5232229	-90.3796848
507935795	38.5169909	-90.3665528
507913847	38.6388930	-90.2655742
507976819	38.4393149	-91.0174986
508182508	38.7860938	-90.5275427
507977574	38.5446669	-91.0251806
507974271	38.4683089	-90.8778126
508183858	38.7818328	-90.5167147
507975925	38.4472279	-91.0064346
507972879	38.4754049	-90.7405217
507970803	38.5746619	-90.6450207
508173426	38.7207929	-90.7206347
507974353	38.4755139	-90.8629976
507914607	38.6034629	-90.2631948
507971692	38.6612839	-90.6735837
507976131	38.5532969	-91.0065126
507911115	38.6360629	-90.2460548
507906968	38.6778229	-90.2124248
507952727	38.5409869	-90.4579927
507975402	38.5437339	-90.9825716
507960492	38.6428529	-90.5184247
507954000	38.4993829	-90.4709647
507918138	38.5638529	-90.2920148
508204354	38.7648428	-90.2067548
508185727	38.7812928	-90.4861347
507973273	38.4864636	-90.7528144
505797124	38.5619129	-90.1748048
507975855	38.4527299	-91.0104036
507906237	38.6715429	-90.2051948
507975835	38.4231199	-90.9898666
507978996	38.5606699	-91.2354875
507912601	38.5905029	-90.2527748
507912892	38.6346129	-90.2631618
507929947	38.6474229	-90.3404648
507976026	38.4854119	-91.0001676
508201774	38.7775028	-90.2617848
507975338	38.4799829	-90.8993696
507966844	38.6048099	-90.5843787
505717920	38.1283289	-89.7441460
508175727	38.7001429	-90.6785327
507976447	38.5416839	-90.9975416
507980105	38.3482170	-91.5004045
507977050	38.5560509	-91.0270356
507976032	38.4606219	-90.9863606
507960146	38.5880329	-90.5138647
507977914	38.2228440	-91.1650676
507911329	38.5629529	-90.2502248
508162534	38.7944319	-91.7753114
507961716	38.4609739	-90.5360147
507937161	38.6055929	-90.3761948
507976992	38.5483809	-91.0207766
507975139	38.4306409	-90.9522096
507912587	38.5963429	-90.2560548
507971368	38.5102829	-90.6351847
507964579	38.3343229	-90.5530847
507957201	38.5323229	-90.4963247
507953166	38.5369929	-90.4587247
507951108	38.5528229	-90.4451447
507961102	38.5533729	-90.5237147
507978194	38.4425629	-91.0580636
507942581	38.6810729	-90.3955048
507974793	38.3487470	-90.9806366
507969642	38.6660699	-90.6243387
508188931	38.7507128	-90.4341247
507961337	38.6400929	-90.5217547
507979661	38.6800699	-91.3498535
507972860	38.4854639	-90.7725727
508158696	38.7621089	-92.2541622
507920887	38.5982329	-90.3093248
507973971	38.4864689	-90.7923757
507951183	38.5475129	-90.4450947
507977095	38.5217549	-91.0371616
507972896	38.4595129	-90.7577257
507975271	38.4267649	-90.9686436
507717212	37.9291031	-91.7587274
507974485	38.6753429	-90.8135346
507965931	38.5923729	-90.5666247
507970441	38.5317229	-90.6286947
510595715	35.8652729	-78.6838684
507907649	38.6705529	-90.2154748
507921623	38.6138629	-90.3045348
507977188	38.5396319	-91.0214436
507979515	38.2050843	-91.2084847
507976556	38.5324919	-91.0037076
507921893	38.5951729	-90.3112748
507911724	38.5978629	-90.2459848
507971604	38.5258629	-90.6345747
507964703	38.5788549	-90.5653867
507967131	38.6664329	-90.5778047
507923629	38.6133129	-90.3159348
507953399	38.5862829	-90.4600547
505803204	38.6993528	-90.1457348
507978628	38.4068979	-91.1703586
507978718	38.1565890	-91.2439836
507978934	38.5917279	-91.2212745
507908120	38.6371429	-90.2293748
508196391	38.7587628	-90.3229848
508174296	38.8114929	-90.7009947
507966921	38.3839559	-90.5835277
508189057	38.7065229	-90.4354247
507973516	38.5566729	-90.7077547
506592972	41.7569424	-91.6395641
507957307	38.4977329	-90.4905447
506595311	41.7230124	-91.7884141
507939503	38.5083429	-90.3780448
507957760	38.4947029	-90.4975407
507975319	38.4817039	-90.9382866
507952913	38.4374429	-90.4612350
507953329	38.6016629	-90.4587247
507976216	38.5326619	-90.9993666
508188785	38.7076730	-90.4300142
507966827	38.5940889	-90.5845387
507979787	38.3546310	-91.3234315
507953936	38.5962429	-90.4715447
507973592	38.4252729	-90.7080447
507976685	38.4121579	-91.0330726
507973956	38.3287789	-90.8632296
507967015	38.5670629	-90.5831247
507978964	38.6135999	-91.2189885
507967939	38.5770929	-90.5967847
507906335	38.6296729	-90.2083948
507717164	37.9404661	-91.7685344
507976876	38.4525979	-91.0128256
507954797	38.6389279	-90.4742417
507963374	38.6496829	-90.5403947
507951828	38.5812369	-90.4494997
508203779	38.7805328	-90.2301748
507973701	38.4864679	-90.8208226
507965452	38.6489429	-90.5604147
507949171	38.5757629	-90.4357847
507978814	38.3754170	-91.2617805
507952750	38.3804749	-90.4566718
508194834	38.6950729	-90.3390748
508186015	38.7789028	-90.4829447
507978391	38.5040489	-91.0832396
507976562	38.5475049	-90.9867026
507972899	38.5236829	-90.7576367
507914513	38.5850529	-90.2628148
507975422	38.4968629	-90.9427436
507942434	38.5520629	-90.3927148
507979024	38.6010409	-91.2186385
507973941	38.2493520	-90.8337497
507974134	38.3960259	-90.7916697
507976911	38.4656319	-91.0178656
507975842	38.4353689	-90.9909386
507957780	38.4821309	-90.5025447
507977053	38.5145849	-91.0414876
507927453	38.5623529	-90.3331248
508186262	38.7800828	-90.4823147
507975145	38.4328889	-90.9535616
506370502	41.8158312	-87.6742152
507914747	38.5928939	-90.2721968
507979308	38.2110820	-91.1847136
507976891	38.4388569	-91.0255546
507952736	38.4724849	-90.4574358
507943232	38.5758529	-90.3997248
507973044	38.5437519	-90.7454377
507976973	38.5456279	-91.0227306
