sp_id	latitude	longitude
507917949	38.5826829	-90.2893648
508189693	38.7371229	-90.4163047
508192553	38.7948328	-90.3602648
508190457	38.7352378	-90.3977387
507970295	38.6632429	-90.6251647
508178189	38.7671729	-90.6259447
508175894	38.8046529	-90.6624047
505783978	38.5873339	-89.9111399
507977574	38.5446669	-91.0251806
507967336	38.6259929	-90.5763047
505785634	38.5860929	-89.9256149
508192143	38.7078029	-90.3719048
507916209	38.6509729	-90.2772048
508187905	38.7153429	-90.4426747
508181683	38.7517729	-90.5613837
508178946	38.7383629	-90.5999147
508173426	38.7207929	-90.7206347
507956645	38.5985769	-90.4898527
507905647	38.6431269	-90.2037888
507914905	38.6490729	-90.2693148
508173125	38.7861229	-90.7246347
516043485	32.6631423	-97.2889364
508178401	38.7710929	-90.6248747
508177369	38.7843129	-90.6346147
507931035	38.6362137	-90.3456550
508184515	38.7771728	-90.4890287
508167026	38.7019429	-90.9192746
507961282	38.6632529	-90.5194047
507912841	38.6381819	-90.2631768
508192896	38.6976429	-90.3620448
507912892	38.6346129	-90.2631618
507932671	38.5656179	-90.3539808
508171355	38.7885929	-90.7598346
507966844	38.6048099	-90.5843787
507914159	38.6098929	-90.2673848
508175727	38.7001429	-90.6785327
508171458	38.8494628	-90.7621146
508182213	38.7886628	-90.5531747
508180263	38.8020028	-90.5849747
507965143	38.5665129	-90.5652947
508186560	38.7655038	-90.4617917
508180453	38.7925628	-90.5850147
508189910	38.7326729	-90.4184647
508186593	38.7770358	-90.4647307
507918986	38.6556729	-90.2986548
508167158	38.7361229	-90.9240946
508171248	38.7807829	-90.7848046
507909265	38.6349629	-90.2374448
507917389	38.5212629	-90.2863448
508172166	38.8010629	-90.7462446
508172317	38.8002529	-90.7503446
508190709	38.7350329	-90.4052147
507954554	38.6763329	-90.4691347
507951749	38.5154879	-90.4510928
508184611	38.7736568	-90.4987287
508188797	38.7028838	-90.4334541
508167533	38.9872028	-90.9585746
507969642	38.6660699	-90.6243387
508182036	38.7349829	-90.5481447
508171465	38.8375629	-90.7614046
508183579	38.7858298	-90.5196087
508180486	38.7926428	-90.5860147
508178187	38.7948629	-90.6177547
508199493	38.7791308	-90.2764948
508194721	38.8208328	-90.3412248
507942519	38.4734729	-90.3951248
507959936	38.6459939	-90.5129307
507936973	38.6746559	-90.3748537
507920887	38.5982329	-90.3093248
