sp_id	sp_gq_id	age	sex
940742702	450045757	80	M
940742704	450045757	69	M
940742705	450045757	76	M
940742706	450045757	77	M
940742707	450045757	80	M
940742708	450045757	77	M
940186677	450045757	90	F
940186671	450045757	81	F
940186672	450045757	90	F
940186673	450045757	90	F
940186674	450045757	80	F
940186675	450045757	87	F
940742703	450045757	88	M
940186686	450045757	84	F
940186685	450045757	66	F
940186684	450045757	83	F
939307891	450045757	34	F
939307890	450045757	43	F
939307889	450045757	22	F
940186683	450045757	87	F
940186682	450045757	84	F
940404372	450045757	33	M
940186681	450045757	85	F
940186680	450045757	76	F
940186679	450045757	85	F
940186678	450045757	79	F
940186676	450045757	105	F
940186646	450045757	83	F
940186647	450045757	77	F
940186648	450045757	93	F
940186649	450045757	97	F
940186650	450045757	88	F
940186651	450045757	88	F
940186652	450045757	85	F
940186653	450045757	87	F
940186654	450045757	81	F
940186655	450045757	85	F
940186656	450045757	88	F
940186657	450045757	81	F
940186658	450045757	92	F
940186659	450045757	88	F
940186660	450045757	88	F
940186661	450045757	88	F
940186662	450045757	93	F
940186663	450045757	76	F
940186664	450045757	87	F
940186665	450045757	91	F
940186666	450045757	80	F
940186667	450045757	102	F
940186668	450045757	101	F
940186669	450045757	72	F
940186670	450045757	87	F
942075604	450018626	16	M
942075605	450018626	31	M
942075606	450018626	43	M
942075608	450018627	47	F
942075607	450018627	45	F
942075609	450018627	40	F
937647221	450002367	23	F
937646835	450002367	18	M
937646836	450002367	19	M
937646837	450002367	19	M
937646838	450002367	21	M
937646839	450002367	18	M
937646840	450002367	21	M
937646841	450002367	19	M
937646842	450002367	18	M
937646843	450002367	20	M
937646844	450002367	18	M
937646845	450002367	19	M
937646846	450002367	19	M
937646847	450002367	19	M
937646848	450002367	22	M
937646849	450002367	21	M
937646850	450002367	19	M
937646851	450002367	19	M
937646852	450002367	23	M
937646853	450002367	18	M
937646854	450002367	24	M
937646855	450002367	21	M
937646856	450002367	23	M
937646857	450002367	19	M
937646858	450002367	19	M
937646859	450002367	23	M
937646860	450002367	21	M
937646861	450002367	18	M
937646862	450002367	18	M
937646863	450002367	18	M
937646864	450002367	19	M
937646865	450002367	23	M
937646866	450002367	19	M
937646867	450002367	19	M
937646868	450002367	19	M
937646869	450002367	20	M
937646870	450002367	19	M
937646871	450002367	18	M
937646872	450002367	22	M
937646873	450002367	19	M
937646874	450002367	21	M
