sp_id	stco	latitude	longitude
450060564	29183	38.7440100	-90.5958800
450133280	29183	38.813937	-90.690413
450118862	29183	38.749303	-90.783332
450118840	29183	38.81904	-90.47791
450119993	29183	38.74294	-90.615066
450067745	17119	38.9274893	-90.1950093
450123987	29183	38.71824	-90.673907
450148711	29183	38.746119	-90.695645
450128057	29183	38.788924	-90.561455
450082661	29510	38.676588	-90.209654
450135361	29183	38.811668	-90.792642
450111058	29183	38.711806	-90.664942
450055807	29071	38.5803300	-90.7513900
450132373	29183	38.799537	-90.535302
450112943	29183	38.728172	-90.603941
450128246	29183	38.752725	-90.524782
450119995	29183	38.707776	-90.667236
450152781	29183	38.787793	-90.717122
450117836	29183	38.772737	-90.700098
450052067	29189	38.8201014	-90.3563110
450055882	29189	38.6544821	-90.6434922
450150421	29183	38.783929	-90.675935
450123988	29183	38.763479	-90.558944
450125321	29183	38.795328	-90.514894
450060318	29183	38.8336810	-90.8439960
450122587	29183	38.763244	-90.597668
450076097	29183	38.7418782	-90.5844157
450124626	29183	38.776834	-90.678198
450128740	29183	38.76543	-90.560608
450141325	29183	38.788675	-90.640431
450136897	29183	38.779234	-90.490678
450129849	29183	38.742787	-90.616141
450117256	29183	38.765421	-90.748574
450136471	29183	38.796385	-90.628882
450107844	29183	38.741125	-90.561074
450130975	29183	38.708768	-90.665335
450082663	29510	38.665894	-90.259627
450133027	29183	38.726951	-90.722052
450117764	29183	38.708934	-90.886976
450120040	29183	38.80219	-90.829992
450142181	29183	38.799838	-90.535299
450051605	17119	38.9036843	-90.1951891
450121784	29183	38.765253	-90.694776
450124624	29183	38.803953	-90.696859
450073973	29189	38.7841194	-90.2235088
450124622	29183	38.806934	-90.703655
450154927	29510	38.635843	-90.212815
450124628	29183	38.74516	-90.70255
450107193	29183	38.574127	-90.881381
450109960	29183	38.767158	-90.846717
450123986	29183	38.70251	-90.71581
450056363	29189	38.7422695	-90.4438681
450082664	29510	38.626278	-90.240757
450119375	29183	38.783427	-90.621946
450146968	29183	38.762205	-90.721271
450148325	29183	38.837903	-90.892308
450074150	29183	38.8033000	-90.5023800
450109971	29183	38.781426	-90.676323
450124625	29183	38.78786	-90.670315
450142807	29183	38.838016	-90.734067
450124621	29183	38.7885	-90.5839
450086034	29510	38.671853	-90.251656
450051299	29183	38.8033000	-90.5023800
450119994	29183	38.763925	-90.55936
450128956	29183	38.815598	-90.852824
450070964	29183	38.8616594	-90.7452523
450075629	29183	38.7584797	-90.7147185
450068613	29183	38.7768331	-90.5420587
450124569	29183	38.745974	-90.776975
450060122	29219	38.8243284	-90.9928997
450055298	29113	38.9520617	-90.9699876
450081244	29510	38.606942	-90.302479
450071876	29219	38.5930654	-90.9835752
450124623	29183	38.821355	-90.666563
450066968	23015	0.0000000	0.0000000
450072760	29189	38.6499046	-90.5084230
450075432	29189	38.6536907	-90.4816862
450123649	29183	38.815894	-90.687901
450060775	29183	38.7924706	-90.5913090
450116778	29183	38.804997	-90.491684
450128977	29183	38.815249	-90.855075
450126745	29183	38.784624	-90.781992
450054196	29183	38.7979150	-90.4999964
450121787	29183	38.814246	-90.867202
450150187	29183	38.773526	-90.753897
450075294	29183	38.8023037	-90.6652198
450061080	17119	38.8913006	-90.1824907
450150681	29183	38.796853	-90.561223
450108320	29183	38.74344	-90.562543
450119546	29183	38.770031	-90.82216
450113449	29183	38.743002	-90.614551
450146747	29183	38.898068	-90.447979
450055589	29183	38.8153079	-90.9578862
450153951	29183	38.746308	-90.647533
450127873	29183	38.790617	-90.495772
450124627	29183	38.791298	-90.726632
450058262	29183	38.7678866	-90.7576251
450128383	29183	38.7872	-90.582085
450146749	29183	38.898068	-90.447979
450056631	34035	0.0000000	0.0000000
450146748	29183	38.898068	-90.447979
450061484	29183	38.7177135	-90.6757778
450123985	29183	38.74804	-90.64555
