county id	snf_id	worker_hours	nresid	beds	latitude	longitude	race_b	race_w	race_ns	sex_f	sex_m	avgage	dis	los
183	265118	4.42	93	180	38.78667	-90.52516	8.52	85.8	5.68	0.4949	0.5051	72.14	0.3571	89
183	265160	5.75	92	142	38.773653	-90.499779	8.28	89.35	2.37	0.5053	0.4947	76.08	0.3333	29.5
183	265166	4.94	94	120	38.756889	-90.526021	0	89.47	10.53	0.831	0.169	82.74	0.4688	22
183	265319	6.35	89	240	38.809155	-90.861657	0	75.14	24.86	0.6107	0.3893	74.48	0.3	49.5
183	265321	4.8	24	36	38.799252	-90.688465	0	93.9	6.1	0.6364	0.3636	83.53	0	21
183	265518	2.75	44	66	38.799218	-90.487621	0	93.9	6.1	0.6556	0.3444	78.73	0.3936	35
183	265589	4.94	89	94	38.788509	-90.604804	0	88.57	11.43	0.6625	0.3375	82.2	0.5538	81
183	265767	6.27	69	81	38.717513	-90.659521	0	98.01	1.99	0.658	0.342	87.56	0	18
183	265783	2	58	84	38.782207	-90.491138	0	98.16	1.84	0.6595	0.3405	85.97	0.463	22
183	265792	3.75	120	164	38.75738	-90.71134	3.7	95.74	0.56	0.6566	0.3434	84	0.7313	21
183	265824	3.02	112	130	38.7949	-90.595667	3.47	95.8	0.73	0.6447	0.3553	82.92	0.6279	20
183	265839	3.35	47	55	38.812443	-90.699797	0	92.19	7.81	0.7202	0.2798	88.68	0.6667	23
