sp_id	sp_gq_id	age	sex
940584616	450035195	66	M
940584615	450035195	87	M
940584614	450035195	96	M
940584601	450035195	85	M
940344261	450035195	26	M
940344260	450035195	62	M
940344259	450035195	35	M
940584600	450035195	81	M
940584613	450035195	68	M
940584612	450035195	82	M
939792179	450035195	86	F
939792178	450035195	96	F
939792177	450035195	91	F
939792176	450035195	82	F
940344268	450035195	59	M
940584599	450035195	97	M
940344267	450035195	64	M
940344266	450035195	33	M
940344265	450035195	57	M
940584595	450035195	73	M
940584594	450035195	84	M
940344272	450035195	62	M
940344271	450035195	33	M
940344270	450035195	37	M
940344269	450035195	33	M
939792184	450035195	84	F
939792185	450035195	84	F
940344273	450035195	48	M
940344274	450035195	41	M
940344275	450035195	62	M
940344276	450035195	49	M
940344277	450035195	60	M
940344278	450035195	63	M
939792186	450035195	88	F
939792187	450035195	76	F
939792175	450035195	86	F
939792188	450035195	85	F
940344264	450035195	63	M
939792189	450035195	80	F
939792190	450035195	80	F
940344263	450035195	34	M
940344262	450035195	55	M
940584611	450035195	88	M
939361012	450035195	61	F
939361011	450035195	58	F
940584610	450035195	80	M
940584609	450035195	85	M
940584608	450035195	93	M
940584607	450035195	91	M
940584606	450035195	79	M
940584598	450035195	86	M
940584597	450035195	88	M
939792183	450035195	86	F
940584596	450035195	80	M
940584605	450035195	68	M
939792182	450035195	65	F
939792181	450035195	86	F
940584604	450035195	91	M
940584603	450035195	78	M
940584602	450035195	71	M
939792191	450035195	90	F
939792192	450035195	87	F
940584617	450035195	70	M
939792180	450035195	77	F
942051780	450018729	16	M
942051775	450018729	17	M
942051776	450018729	17	M
942051777	450018729	13	M
942051778	450018729	16	M
942051779	450018729	17	M
942051781	450018730	16	F
939382459	450028306	64	F
939382460	450028306	45	F
940481238	450028306	75	M
940481239	450028306	68	M
940481240	450028306	85	M
940481241	450028306	81	M
940481242	450028306	83	M
940481243	450028306	79	M
940481244	450028306	81	M
940481245	450028306	82	M
939382461	450028306	41	F
939382462	450028306	34	F
939382463	450028306	64	F
939382464	450028306	35	F
939382465	450028306	63	F
939382466	450028306	61	F
939382467	450028306	62	F
939382468	450028306	52	F
939382469	450028306	42	F
939382470	450028306	58	F
939382471	450028306	64	F
939382472	450028306	64	F
940481237	450028306	95	M
940481236	450028306	78	M
940481235	450028306	86	M
940481234	450028306	74	M
940481233	450028306	87	M
940481232	450028306	86	M
940481231	450028306	81	M
940481228	450028306	85	M
939530769	450028306	80	F
939530770	450028306	92	F
939530771	450028306	100	F
940481229	450028306	70	M
940481230	450028306	88	M
940306511	450028306	25	M
939530773	450028306	92	F
939530772	450028306	80	F
939530789	450028306	90	F
940306508	450028306	56	M
939530788	450028306	77	F
939530787	450028306	90	F
939530786	450028306	80	F
940306507	450028306	37	M
940306506	450028306	38	M
940306505	450028306	55	M
940306509	450028306	48	M
939530785	450028306	103	F
939530784	450028306	78	F
939530783	450028306	83	F
939530782	450028306	89	F
939530781	450028306	81	F
940306530	450028306	59	M
940306529	450028306	48	M
940306528	450028306	62	M
940306527	450028306	61	M
939530780	450028306	77	F
939530779	450028306	80	F
939530778	450028306	87	F
939530777	450028306	85	F
939530776	450028306	80	F
939530775	450028306	85	F
939530774	450028306	94	F
940306526	450028306	33	M
940306525	450028306	55	M
940306524	450028306	49	M
940306523	450028306	61	M
940306522	450028306	58	M
940306521	450028306	38	M
940306520	450028306	52	M
940306519	450028306	63	M
940306518	450028306	57	M
940306517	450028306	60	M
940306516	450028306	39	M
940306515	450028306	57	M
940306514	450028306	62	M
940306513	450028306	53	M
940306512	450028306	64	M
939530768	450028306	90	F
940481227	450028306	81	M
940481226	450028306	87	M
940481225	450028306	96	M
940306510	450028306	59	M
940306502	450028306	58	M
940306503	450028306	52	M
939382458	450028306	51	F
940306504	450028306	41	M
940031558	450041059	89	F
940378074	450041059	25	M
940378075	450041059	58	M
940378076	450041059	53	M
940378077	450041059	58	M
940378078	450041059	61	M
940378079	450041059	36	M
940378080	450041059	58	M
940378081	450041059	42	M
940378082	450041059	48	M
940378083	450041059	46	M
940378084	450041059	51	M
940378085	450041059	22	M
940378086	450041059	41	M
940378087	450041059	53	M
940378088	450041059	49	M
940378089	450041059	56	M
940378090	450041059	30	M
940378091	450041059	33	M
940378092	450041059	60	M
940378093	450041059	52	M
940378094	450041059	63	M
940378095	450041059	47	M
940378096	450041059	57	M
940378097	450041059	45	M
940378098	450041059	58	M
940378099	450041059	62	M
940378100	450041059	54	M
940031552	450041059	87	F
940031553	450041059	93	F
940031554	450041059	85	F
940031555	450041059	78	F
940031556	450041059	85	F
940031557	450041059	88	F
940031559	450041059	88	F
940031560	450041059	76	F
940031561	450041059	92	F
940031562	450041059	81	F
940031563	450041059	79	F
940031564	450041059	79	F
940031565	450041059	81	F
940031566	450041059	85	F
940031567	450041059	73	F
940031568	450041059	91	F
940031569	450041059	81	F
940031570	450041059	86	F
940031571	450041059	87	F
940031572	450041059	85	F
940031573	450041059	77	F
939328545	450041059	55	F
939328546	450041059	47	F
939328547	450041059	64	F
939328548	450041059	58	F
939328549	450041059	43	F
939328550	450041059	57	F
939328551	450041059	60	F
939328552	450041059	64	F
939328553	450041059	61	F
939328554	450041059	44	F
939328555	450041059	56	F
939328556	450041059	54	F
939328557	450041059	45	F
939328558	450041059	41	F
939328559	450041059	28	F
940678195	450041059	76	M
940678194	450041059	87	M
940678193	450041059	89	M
940678192	450041059	86	M
940678191	450041059	80	M
940678190	450041059	68	M
940678189	450041059	88	M
940678188	450041059	88	M
940678187	450041059	79	M
940678186	450041059	95	M
940678185	450041059	81	M
940678184	450041059	81	M
940678183	450041059	79	M
940678182	450041059	75	M
940678181	450041059	85	M
940678180	450041059	93	M
940678179	450041059	74	M
940678178	450041059	77	M
940678177	450041059	85	M
940678176	450041059	89	M
940678175	450041059	78	M
940378072	450041059	56	M
940378073	450041059	61	M
939322229	450042103	56	F
939322228	450042103	55	F
939322227	450042103	56	F
939322226	450042103	64	F
939322225	450042103	63	F
940073678	450042103	66	F
940694625	450042103	65	M
940694626	450042103	75	M
940694627	450042103	78	M
940694628	450042103	87	M
940073692	450042103	85	F
940694611	450042103	93	M
940694612	450042103	78	M
940694613	450042103	85	M
940694614	450042103	78	M
940073693	450042103	85	F
939322239	450042103	59	F
939322238	450042103	56	F
940694622	450042103	83	M
940694621	450042103	74	M
940694620	450042103	98	M
940694619	450042103	87	M
940694618	450042103	71	M
940073679	450042103	76	F
940073677	450042103	86	F
940073676	450042103	88	F
940073675	450042103	89	F
940073674	450042103	86	F
940073673	450042103	89	F
940073672	450042103	91	F
940073687	450042103	84	F
940073688	450042103	92	F
940073690	450042103	88	F
940073680	450042103	89	F
940073681	450042103	82	F
940073682	450042103	86	F
940073683	450042103	84	F
940073684	450042103	81	F
940073685	450042103	78	F
940383168	450042103	21	M
940383167	450042103	48	M
940383166	450042103	57	M
940383165	450042103	28	M
940383164	450042103	61	M
940694624	450042103	90	M
940073686	450042103	83	F
940073689	450042103	75	F
940694609	450042103	66	M
940694610	450042103	69	M
940073691	450042103	86	F
940383163	450042103	57	M
940383162	450042103	60	M
940383161	450042103	40	M
940383160	450042103	37	M
940383159	450042103	59	M
940694617	450042103	72	M
940694616	450042103	73	M
940694615	450042103	85	M
939322237	450042103	56	F
940694623	450042103	81	M
939322236	450042103	36	F
939322235	450042103	61	F
939322234	450042103	60	F
939322233	450042103	44	F
939322232	450042103	55	F
939322231	450042103	31	F
940383140	450042103	63	M
940383141	450042103	54	M
940383142	450042103	61	M
940383143	450042103	54	M
940383144	450042103	64	M
940383145	450042103	63	M
940383146	450042103	31	M
940383147	450042103	43	M
940383148	450042103	57	M
940383149	450042103	48	M
940383150	450042103	64	M
940383151	450042103	63	M
939322230	450042103	47	F
940383152	450042103	56	M
940383153	450042103	63	M
940383154	450042103	64	M
940383155	450042103	47	M
940383156	450042103	25	M
940383157	450042103	49	M
940383158	450042103	50	M
942052457	450018731	44	M
942052456	450018731	49	M
942052455	450018731	25	M
942052454	450018731	37	M
942052453	450018731	57	M
942052452	450018731	41	M
942052451	450018731	22	M
942052450	450018731	35	M
942052449	450018731	32	M
942052448	450018731	58	M
942052447	450018731	24	M
942052446	450018731	33	M
942052445	450018731	50	M
942052444	450018731	47	M
942052443	450018731	55	M
942052442	450018731	31	M
942052441	450018731	50	M
942052440	450018731	38	M
942052439	450018731	27	M
942052438	450018731	21	M
942052437	450018731	37	M
942052436	450018731	34	M
942052435	450018731	25	M
942052434	450018731	28	M
942052433	450018731	24	M
942052432	450018731	51	M
942052431	450018731	32	M
942052430	450018731	24	M
942052429	450018731	38	M
942052428	450018731	30	M
942052427	450018731	31	M
942052426	450018731	30	M
942052425	450018731	25	M
942052424	450018731	26	M
942052423	450018731	44	M
942052422	450018731	33	M
942052421	450018731	18	M
942052420	450018731	46	M
942052419	450018731	64	M
942052418	450018731	39	M
942052417	450018731	45	M
942052416	450018731	28	M
942052415	450018731	27	M
942052414	450018731	28	M
942052413	450018731	56	M
942052412	450018731	27	M
942052411	450018731	33	M
942052410	450018731	38	M
942052409	450018731	34	M
942052408	450018731	37	M
942052407	450018731	36	M
942052406	450018731	53	M
942052405	450018731	26	M
