sp_id	stco	latitude	longitude
450098991	29510	38.596794	-90.293543
450135624	29510	38.673153	-90.271708
450111164	29510	38.588617	-90.283545
450098835	29510	38.555106	-90.256172
450078738	29510	38.613504	-90.24298
450145895	29510	38.588706	-90.264651
450154982	29510	38.604838	-90.225515
450091546	29510	38.604208	-90.269414
450060766	29189	38.7172818	-90.2849145
450100480	29510	38.616661	-90.255904
450051550	29510	38.6428809	-90.2546973
450116647	29510	38.664466	-90.257248
450051785	29189	38.6414779	-90.3344132
450111057	29510	38.656963	-90.243856
450122802	29510	38.595738	-90.244743
450082661	29510	38.676588	-90.209654
450123559	29510	38.667175	-90.27817
450106985	29510	38.67102	-90.235533
450134678	29510	38.622422	-90.227722
450139961	29510	38.610506	-90.290389
450125138	29510	38.631594	-90.223033
450082662	29510	38.585917	-90.220688
450108272	29510	38.663059	-90.221264
450090719	29510	38.639058	-90.212759
450079105	29510	38.61768	-90.208365
450137669	29510	38.580293	-90.267644
450129139	29510	38.669101	-90.244928
450125124	29510	38.640777	-90.212749
450121395	29510	38.641686	-90.209535
450148196	29510	38.617906	-90.204889
450141016	29510	38.579488	-90.232496
450063415	29189	38.6795525	-90.2849459
450091058	29510	38.604208	-90.269414
450119969	29510	38.720435	-90.24071
450078160	29510	38.548882	-90.261151
450143058	29510	38.607577	-90.245184
450154927	29510	38.635843	-90.212815
450109190	29510	38.620341	-90.238507
450081543	29510	38.640305	-90.23072
450127090	29510	38.643486	-90.235213
450069984	29189	38.7381011	-90.2634926
450129767	29510	38.61669	-90.225214
450082664	29510	38.626278	-90.240757
450071899	29189	38.7064809	-90.2958952
450119586	29510	38.645168	-90.220061
450065956	29510	38.7177135	-90.2335812
450092562	29510	38.605447	-90.205061
450151202	29510	38.656539	-90.298499
450051425	29510	38.6419432	-90.2345510
450115879	29510	38.653894	-90.218703
450086034	29510	38.671853	-90.251656
450079077	29510	38.630712	-90.201549
450060777	29189	38.5479125	-90.3355104
450115651	29510	38.644828	-90.238313
450090341	29510	38.616493	-90.19612
450144515	29510	38.691907	-90.268888
450071442	29510	38.5772663	-90.3030988
450142180	29510	38.588833	-90.224135
450090394	29510	38.578951	-90.297703
450081244	29510	38.606942	-90.302479
450088742	29510	38.652794	-90.19556
450066968	23015	0.0000000	0.0000000
450066496	29189	38.5590820	-90.3043848
450136556	29510	38.675183	-90.253816
450051800	29510	38.6326748	-90.2604403
450067282	29510	38.6027261	-90.2109992
450115093	29510	38.662771	-90.199474
450132273	29510	38.641059	-90.202512
450129789	29510	38.646552	-90.200282
450094594	29510	38.620994	-90.270535
450066892	29189	38.5521264	-90.3341278
450084011	29510	38.608233	-90.200217
450051771	29510	38.6403178	-90.2122763
450075742	29510	38.5828871	-90.3053021
450052081	29189	38.7504848	-90.2569006
450073550	29189	38.6447563	-90.3051161
450070735	29189	38.5939497	-90.3284969
450128810	29510	38.637371	-90.191709
450053849	29510	38.6593025	-90.2338870
450138990	29510	38.601882	-90.253966
450129078	29510	38.710605	-90.251628
450071619	29510	38.5697030	-90.2628811
450051606	17163	38.6301285	-90.1495935
450143059	29510	38.607577	-90.245184
450116031	29510	38.587773	-90.303768
450134879	29510	38.677075	-90.276957
450140480	29510	38.610279	-90.218763
450066150	29510	38.6420895	-90.2534202
450063499	29189	38.5225246	-90.2719103
450112543	29510	38.581452	-90.228016
450053662	17163	38.6224600	-90.1546100
450086338	29510	38.653927	-90.196462
450097577	29510	38.59766	-90.276593
450099768	29510	38.640634	-90.24322
450054704	29189	38.5964938	-90.3549807
450153222	29510	38.600901	-90.235924
450056631	34035	0.0000000	0.0000000
450068328	29510	38.5687228	-90.2504255
450091799	29510	38.629412	-90.271831
450122881	29510	38.662199	-90.227985
450094586	29510	38.641699	-90.2096
450127581	29510	38.681141	-90.248312
450053657	29510	38.6520989	-90.2836914
450073852	29510	38.6093182	-90.2565948
450105126	29510	38.625098	-90.256519
450082663	29510	38.665894	-90.259627
450141676	29510	38.642335	-90.229272
450124553	29510	38.588092	-90.233539
450057879	29510	38.6605256	-90.1995868
