sp_id	sp_gq_id	age	sex
937634573	450002371	19	M
937634587	450002371	18	F
937634586	450002371	19	F
937634585	450002371	22	F
937634584	450002371	19	F
937634583	450002371	19	F
937634582	450002371	19	F
937634581	450002371	19	F
937634580	450002371	20	F
937634579	450002371	18	F
937634578	450002371	19	M
937634577	450002371	20	M
937634576	450002371	22	M
937634575	450002371	19	M
937634574	450002371	21	M
937634572	450002371	24	M
937634571	450002371	23	M
937634570	450002371	23	M
937634569	450002371	24	M
937634568	450002371	19	M
942056628	450010683	24	M
942056542	450010683	17	M
942056531	450010683	16	M
942056530	450010683	16	M
942056529	450010683	17	M
942056538	450010683	17	M
942056537	450010683	13	M
942056536	450010683	16	M
942056528	450010683	17	M
942056527	450010683	16	M
942056532	450010683	13	M
942056533	450010683	16	M
942056534	450010683	17	M
942056540	450010683	17	M
942056539	450010683	17	M
942056535	450010683	13	M
942056541	450010683	15	M
942056548	450010684	17	M
942056553	450010684	16	M
942056559	450010684	16	M
942056554	450010684	17	M
942056555	450010684	15	M
942056551	450010684	15	M
942056556	450010684	17	M
942056557	450010684	14	M
942056558	450010684	16	M
942056550	450010684	16	M
942056549	450010684	17	M
942056547	450010684	17	M
942056546	450010684	17	M
942056545	450010684	17	M
942056544	450010684	17	M
942056543	450010684	17	M
942056552	450010684	17	M
942056564	450010685	16	M
942056563	450010685	16	M
942056562	450010685	17	M
942056561	450010685	16	M
942056568	450010685	17	M
942056569	450010685	15	M
942056570	450010685	13	M
942056571	450010685	16	M
942056572	450010685	17	M
942056573	450010685	16	M
942056574	450010685	17	M
942056575	450010685	15	M
942056576	450010685	16	M
942056560	450010685	16	M
942056565	450010685	15	M
942056566	450010685	16	M
942056567	450010685	14	M
942056580	450010686	16	M
942056588	450010686	15	M
942056582	450010686	15	M
942056579	450010686	15	M
942056578	450010686	17	M
942056577	450010686	16	M
942056587	450010686	16	M
942056586	450010686	15	M
942056585	450010686	13	M
942056584	450010686	17	M
942056591	450010686	17	M
942056590	450010686	16	M
942056589	450010686	17	M
942056593	450010686	15	M
942056592	450010686	13	M
942056583	450010686	15	M
942056581	450010686	17	M
942056602	450010687	17	M
942056599	450010687	17	M
942056600	450010687	15	M
942056601	450010687	17	M
942056594	450010687	17	M
942056603	450010687	17	M
942056604	450010687	16	M
942056605	450010687	15	M
942056606	450010687	17	M
942056607	450010687	17	M
942056608	450010687	17	M
942056609	450010687	16	M
942056610	450010687	17	M
942056598	450010687	17	M
942056597	450010687	17	M
942056596	450010687	17	M
942056595	450010687	17	M
942056616	450010688	16	M
942056615	450010688	17	M
942056627	450010688	17	M
942056626	450010688	13	M
942056625	450010688	14	M
942056611	450010688	15	M
942056617	450010688	15	M
942056618	450010688	15	M
942056619	450010688	15	M
942056620	450010688	17	M
942056621	450010688	17	M
942056622	450010688	17	M
942056623	450010688	17	M
942056614	450010688	13	M
942056613	450010688	17	M
942056624	450010688	17	M
942056612	450010688	17	M
942056658	450018649	16	F
942056659	450018649	16	F
942056660	450018649	17	F
942056661	450018649	17	F
942056662	450018649	17	F
942056663	450018649	17	F
942056664	450018649	17	F
942056665	450018649	16	F
942056636	450018649	16	F
942056635	450018649	17	F
942056634	450018649	16	F
942056641	450018649	17	F
942056632	450018649	17	F
942056631	450018649	16	F
942056630	450018649	17	F
942056629	450018649	17	F
942056637	450018649	16	F
942056638	450018649	16	F
942056639	450018649	17	F
942056640	450018649	16	F
942056633	450018649	16	F
942056642	450018649	17	F
942056643	450018649	17	F
942056644	450018649	17	F
942056645	450018649	15	F
942056646	450018649	17	F
942056647	450018649	16	F
942056648	450018649	17	F
942056649	450018649	13	F
942056650	450018649	13	F
942056651	450018649	15	F
942056652	450018649	17	F
942056653	450018649	17	F
942056654	450018649	17	F
942056655	450018649	17	F
942056656	450018649	17	F
942056657	450018649	16	F
940742123	450045762	76	M
940742124	450045762	75	M
940742125	450045762	84	M
940742126	450045762	84	M
940742127	450045762	70	M
940742128	450045762	83	M
940742129	450045762	76	M
940742130	450045762	67	M
940742131	450045762	92	M
940185525	450045762	87	F
940185524	450045762	88	F
940185523	450045762	95	F
940185522	450045762	66	F
940185521	450045762	94	F
940185520	450045762	75	F
940185519	450045762	86	F
940185518	450045762	81	F
940185517	450045762	83	F
940185516	450045762	75	F
940185515	450045762	89	F
940185514	450045762	87	F
940185513	450045762	87	F
940185512	450045762	93	F
940185511	450045762	90	F
940185510	450045762	99	F
940185509	450045762	75	F
940185508	450045762	81	F
940185507	450045762	82	F
940185506	450045762	84	F
940185505	450045762	86	F
940185504	450045762	89	F
940185503	450045762	89	F
940185502	450045762	82	F
940185501	450045762	90	F
940185500	450045762	85	F
940185499	450045762	72	F
940185498	450045762	96	F
